Rain SprinklerOn Humidity Temperature WetGround
2 2 - - 2
0 0 40.94 25.18 0
1 0 39.76 28.9 1
1 1 92.5 12.51 1
0 1 39.96 23.75 0
0 1 41.76 22.15 0
0 1 80.75 29.98 1
0 1 55.98 32.18 1
1 1 82.14 5.36 1
0 0 25.23 25.22 0
1 0 59.01 6.56 1
0 0 22.69 21.47 0
1 1 25.01 13.63 1
1 1 92.51 14.2 1
0 0 31.14 15.59 0
0 1 62.59 23.64 1
0 1 52.89 15.02 1
0 0 47.79 26.98 0
0 0 91.99 17.14 0
0 1 21.75 7.05 0
0 0 73.1 28.51 0
0 1 97.07 13.57 1
0 0 64.81 17.98 0
0 1 94.95 25.56 1
0 1 24.18 14.97 0
0 1 53.5 6.7 1
1 0 40.81 16.22 1
0 1 78.47 33.33 1
0 1 98.5 24.25 1
0 0 40.52 25.14 0
0 1 72.33 23.97 1
0 0 35.85 10.97 0
0 0 65.23 17.55 0
0 0 57.11 27.53 0
1 0 97.76 8.04 1
1 0 68.68 13.34 1
1 1 47.96 13.29 1
0 0 29.13 17.96 0
0 1 32.1 34.41 0
0 0 38.03 7.03 0
0 0 40.08 20.56 0
0 0 88.05 10.38 0
0 1 64.9 34.12 1
0 0 61.87 8.4 0
1 1 29.18 17.11 1
0 1 88.81 27.14 1
0 1 77.83 26.14 1
0 0 25.41 17.68 0
0 0 76.63 15.4 0
0 1 63.48 16.93 1
0 0 26.54 12.93 0
1 1 56.66 11.16 1
1 0 58.78 19.49 1
1 1 33.26 13.06 1
1 1 95.66 13.62 1
0 1 88.0 24.7 1
1 0 73.52 34.06 1
0 1 56.98 23.11 1
0 0 52.94 7.31 0
0 0 72.08 7.27 0
0 1 63.63 33.54 1
0 1 24.98 13.92 0
0 1 61.0 7.76 1
1 1 84.51 22.97 1
0 0 56.74 23.71 0
0 0 24.16 24.46 0
0 1 82.9 13.02 1
0 0 36.11 5.45 0
1 0 40.69 33.95 1
0 0 33.18 12.53 0
1 0 46.42 25.28 1
1 0 80.54 26.2 1
0 0 61.55 23.3 0
0 0 36.39 14.39 0
1 0 90.23 13.13 1
1 1 90.37 22.93 1
1 0 89.65 30.98 1
1 0 39.1 33.4 1
0 1 56.1 8.18 1
0 0 98.8 9.64 0
0 1 81.76 33.34 1
1 1 22.17 27.1 1
0 0 25.22 31.49 0
0 0 57.11 11.08 0
0 1 92.74 22.63 1
0 1 63.1 26.03 1
0 0 59.83 25.4 0
1 1 28.44 17.24 1
0 0 72.54 5.46 0
1 1 85.77 22.49 1
0 0 50.43 12.59 0
0 1 82.05 18.51 1
1 1 97.16 33.73 1
1 1 36.3 16.97 1
0 0 61.87 30.19 0
1 0 42.97 10.66 1
0 0 83.43 25.17 0
0 0 66.21 34.31 0
0 0 70.77 8.06 0
0 1 83.83 5.25 1
0 0 51.68 18.01 0
0 0 93.21 7.78 0
0 1 62.64 27.45 1
0 1 32.64 32.44 0
0 1 75.67 18.02 1
1 1 83.46 12.76 1
0 0 45.34 18.03 0
0 0 88.57 26.7 0
1 1 92.49 5.27 1
0 1 42.15 22.68 0
0 0 98.68 23.4 0
0 1 31.26 24.13 0
0 0 36.16 12.26 0
1 0 34.74 26.42 1
1 0 91.52 7.74 1
0 0 72.34 10.98 0
1 0 32.17 31.32 1
1 0 55.23 27.16 1
0 1 69.22 5.41 1
1 0 26.68 12.45 1
0 0 90.59 11.43 0
1 1 84.29 13.12 1
1 1 60.42 12.43 1
0 1 97.37 6.88 1
0 1 53.42 18.77 1
0 1 98.73 26.98 1
0 0 73.43 23.2 0
1 0 70.77 25.19 1
1 0 33.28 7.43 1
0 0 90.55 33.54 0
0 0 54.2 30.15 0
0 1 32.98 29.15 0
0 0 21.01 29.69 0
0 0 64.78 32.98 0
0 0 62.19 21.33 0
1 1 77.55 11.01 1
0 0 91.22 23.5 0
0 1 26.35 27.29 0
1 0 78.52 27.14 1
0 0 34.99 20.64 0
1 0 88.65 7.05 1
1 1 85.53 16.13 1
0 0 63.26 32.62 0
0 1 76.82 22.53 1
0 0 45.15 21.15 0
0 0 57.69 13.07 0
0 1 85.73 16.05 1
0 1 56.74 31.86 1
0 1 48.62 24.99 0
0 1 59.54 28.62 1
0 1 86.26 18.63 1
1 1 46.82 23.91 1
0 1 33.9 12.45 0
0 1 76.96 26.16 1
0 1 86.08 17.83 1
1 1 28.05 18.28 1
0 1 39.19 24.48 0
0 0 31.36 33.09 0
1 1 47.84 6.92 1
0 1 56.03 29.74 1
1 0 79.91 13.77 1
0 1 72.09 18.32 1
0 0 69.67 5.66 0
0 0 48.19 14.03 0
0 1 87.32 20.08 1
0 0 57.7 6.69 0
1 1 98.33 19.73 1
0 1 70.73 32.81 1
0 0 30.1 8.16 0
0 0 74.09 27.93 0
0 0 46.01 17.29 0
0 1 74.91 24.66 1
0 1 25.57 12.81 0
0 1 33.99 9.78 0
0 0 88.46 9.81 0
0 1 38.17 7.11 0
0 0 86.96 10.57 0
0 1 42.34 24.93 0
0 0 71.43 31.45 0
1 1 75.53 29.42 1
0 0 61.01 25.55 0
0 1 44.42 8.31 0
0 0 37.01 13.68 0
1 1 22.66 14.29 1
1 1 44.32 12.5 1
0 0 72.25 20.45 0
0 1 95.06 21.07 1
1 1 89.7 15.71 1
0 0 81.29 15.61 0
0 0 83.08 29.86 0
0 1 73.2 28.68 1
0 0 40.82 14.23 0
1 0 92.58 32.41 1
1 0 73.66 33.58 1
0 1 64.84 14.8 1
0 0 28.88 15.63 0
0 1 55.76 20.17 1
1 1 56.83 33.23 1
1 1 89.17 31.29 1
1 1 63.73 8.08 1
1 0 50.43 16.78 1
0 1 98.14 21.6 1
0 0 28.86 20.09 0
0 0 53.8 10.82 0
1 0 23.36 30.76 1
0 0 79.19 25.31 0
0 1 93.45 30.14 1
0 1 42.4 30.76 0
0 0 88.67 27.45 0
0 0 43.38 18.18 0
0 1 92.86 23.32 1
0 0 80.32 9.81 0
0 0 84.39 25.21 0
0 0 21.44 10.38 0
0 1 97.02 25.82 1
1 1 78.13 11.89 1
0 0 44.38 8.53 0
0 0 86.35 9.96 0
1 1 42.52 5.06 1
0 1 89.82 26.56 1
1 0 29.01 26.97 1
0 1 76.29 20.45 1
0 0 63.26 9.84 0
0 0 27.72 7.51 0
0 1 39.35 5.57 0
0 0 20.99 9.97 0
0 1 57.5 31.73 1
1 0 44.1 12.25 1
0 0 67.87 15.63 0
1 1 43.78 8.16 1
0 0 43.99 11.67 0
1 1 79.46 20.58 1
0 0 23.85 23.23 0
0 0 92.23 12.36 0
0 0 88.18 6.73 0
0 1 73.42 16.73 1
1 0 67.46 12.03 1
0 1 91.38 11.59 1
0 0 34.83 33.8 0
0 1 26.32 23.49 0
0 0 39.16 21.71 0
1 1 83.57 17.47 1
1 1 22.77 17.87 1
1 1 66.62 21.23 1
0 1 99.64 25.89 1
0 1 88.46 26.06 1
1 1 61.72 10.15 1
0 0 25.09 20.0 0
1 0 86.51 17.36 1
1 1 67.92 31.12 1
1 1 29.19 23.94 1
0 1 27.51 20.98 0
0 0 92.77 8.46 0
1 0 73.54 23.17 1
0 0 86.34 8.52 0
0 1 90.32 15.12 1
0 0 65.74 9.29 0
1 0 61.4 25.76 1
0 0 54.43 11.19 0
0 0 45.36 16.76 0
0 0 54.77 31.87 0
0 0 81.91 11.13 0
1 1 68.15 20.23 1
0 0 91.4 17.58 0
0 0 55.47 5.54 0
1 0 68.57 28.78 1
1 0 70.5 7.07 1
0 0 67.34 19.23 0
1 0 76.21 21.82 1
0 1 38.99 23.85 0
0 0 60.99 25.66 0
1 1 28.34 12.6 1
1 1 50.76 5.3 1
1 1 59.01 26.7 1
1 0 72.18 21.07 1
0 0 96.04 30.08 0
0 0 68.05 29.64 0
1 0 79.49 30.3 1
0 1 60.5 19.55 1
1 0 70.73 15.01 1
1 0 25.67 28.75 1
1 1 40.35 18.54 1
0 1 48.95 10.5 0
0 0 57.8 30.65 0
0 0 23.65 31.48 0
0 0 31.2 18.99 0
0 0 42.15 7.27 0
0 0 97.72 16.63 0
0 0 46.51 29.11 0
0 0 58.56 32.05 0
0 0 35.69 11.1 0
0 0 68.86 7.01 0
0 0 42.45 31.32 0
1 0 36.56 16.68 1
0 1 61.33 21.25 1
0 1 20.44 34.04 0
0 0 20.61 7.0 0
1 0 37.53 24.45 1
0 0 22.94 7.22 0
0 1 28.64 16.26 0
0 1 47.11 29.11 0
0 0 84.21 18.0 0
0 1 65.76 34.92 1
0 0 61.01 21.77 0
0 0 43.48 14.63 0
1 1 94.54 11.6 1
1 1 51.76 15.52 1
0 1 26.97 16.18 0
0 1 69.37 7.06 1
