Rain SprinklerOn Humidity Temperature WetGround
2 2 - - 2
1 0 62.64 24.63 1
0 0 31.03 7.4 0
1 0 67.3 12.27 1
0 1 45.18 28.21 0
0 0 24.19 20.86 0
0 1 95.89 32.84 1
0 0 71.32 17.86 0
0 1 90.15 31.09 1
0 1 74.08 18.47 1
0 1 48.56 34.38 0
0 1 61.02 33.8 1
0 1 74.06 14.87 1
0 1 96.82 31.58 1
0 0 40.29 30.43 0
0 0 90.0 11.32 0
0 0 93.93 23.73 0
0 0 73.63 7.18 0
1 0 94.5 30.1 1
0 0 51.83 10.24 0
0 0 96.24 7.12 0
0 0 76.22 17.01 0
1 0 23.36 22.31 1
0 1 92.55 30.65 1
0 0 58.76 34.23 0
0 1 56.83 18.18 1
0 0 65.32 6.81 0
0 1 31.95 27.47 0
0 1 57.53 21.96 1
1 1 86.49 18.44 1
0 1 21.24 14.28 0
0 0 41.83 20.07 0
1 1 20.2 15.16 1
0 1 53.26 27.71 1
1 1 78.27 21.32 1
0 1 83.9 31.31 1
1 0 95.62 21.31 1
0 1 68.68 12.15 1
1 0 40.37 30.53 1
1 0 93.93 21.72 1
0 0 82.03 11.21 0
0 1 65.95 23.71 1
0 0 75.65 15.73 0
1 0 93.95 30.33 1
0 0 76.99 18.6 0
0 1 49.47 26.79 0
0 1 77.04 7.87 1
0 0 23.22 16.88 0
0 0 50.91 34.5 0
1 1 52.51 29.25 1
0 1 33.35 9.8 0
1 1 21.85 13.33 1
0 0 30.67 14.89 0
0 1 72.37 24.51 1
0 0 84.18 27.71 0
0 0 99.06 27.49 0
1 0 47.71 20.3 1
1 0 67.95 29.32 1
0 1 94.97 18.11 1
0 0 33.36 8.72 0
0 0 77.41 21.93 0
1 0 80.4 33.57 1
1 0 27.12 28.79 1
1 0 88.9 22.36 1
0 0 85.05 24.4 0
0 0 22.67 32.92 0
0 1 27.29 17.85 0
0 1 23.93 14.94 0
0 1 46.78 34.32 0
0 0 60.74 30.9 0
0 1 62.59 14.69 1
1 1 41.41 18.91 1
1 1 92.93 17.45 1
0 1 49.46 9.47 0
0 0 23.64 33.73 0
0 1 44.02 17.13 0
1 0 62.49 31.26 1
1 0 52.66 10.68 1
1 0 41.91 21.44 1
1 0 30.51 5.72 1
0 1 85.53 27.93 1
0 0 99.69 22.43 0
0 0 46.36 23.77 0
0 1 50.53 6.55 1
1 0 69.44 11.33 1
0 0 77.48 7.23 0
0 1 51.36 13.67 1
0 1 92.39 23.82 1
1 0 64.8 21.99 1
0 1 56.03 23.36 1
0 0 71.73 21.48 0
0 0 96.22 13.19 0
0 0 83.56 12.34 0
0 0 23.2 9.11 0
1 1 46.58 30.47 1
0 1 57.64 23.49 1
1 0 45.16 10.6 1
0 0 76.02 10.32 0
0 1 86.1 31.19 1
1 0 78.51 27.28 1
0 0 99.15 24.78 0
0 1 41.8 17.21 0
1 1 90.0 12.86 1
0 1 81.33 34.38 1
1 0 48.97 28.92 1
0 1 78.73 14.05 1
0 0 28.33 30.43 0
0 0 83.15 27.77 0
1 0 62.59 13.91 1
0 0 43.38 17.8 0
1 0 72.46 10.58 1
1 0 71.33 8.33 1
0 0 36.76 26.68 0
0 1 22.43 13.03 0
0 0 54.69 29.6 0
0 0 65.56 34.87 0
0 0 90.13 7.3 0
0 0 94.26 19.19 0
1 1 62.3 29.06 1
1 0 80.3 28.67 1
1 1 55.14 27.8 1
1 0 79.69 15.47 1
0 0 36.38 18.62 0
0 1 49.69 22.85 0
1 1 70.74 34.22 1
0 0 21.45 14.83 0
1 1 77.8 32.69 1
0 0 86.84 13.08 0
0 1 51.93 34.67 1
1 1 55.84 25.11 1
1 1 88.1 18.91 1
0 1 82.05 23.4 1
1 0 43.05 13.18 1
0 1 45.92 13.23 0
0 0 74.31 8.41 0
1 0 65.06 8.42 1
0 0 32.98 15.43 0
0 0 44.79 27.89 0
0 1 92.0 23.24 1
0 0 75.05 8.08 0
0 0 98.88 30.57 0
0 0 81.36 23.04 0
0 0 95.36 33.83 0
1 1 37.3 25.11 1
0 0 81.72 10.26 0
1 1 21.62 19.21 1
0 1 73.66 24.45 1
0 1 57.54 5.85 1
0 0 47.74 5.45 0
0 1 88.99 8.88 1
0 0 88.34 12.55 0
0 1 21.78 17.89 0
0 0 68.76 19.62 0
0 0 49.43 9.14 0
0 0 53.25 25.2 0
0 1 86.56 22.88 1
0 0 44.79 13.83 0
1 0 95.44 5.41 1
0 0 34.37 7.33 0
0 1 73.02 16.75 1
0 1 73.77 9.62 1
1 0 40.18 16.3 1
0 1 45.98 23.85 0
1 0 86.78 21.42 1
0 0 80.94 11.94 0
1 1 46.33 15.31 1
1 0 62.72 23.42 1
1 0 24.93 30.83 1
0 0 36.7 27.6 0
0 0 58.87 21.6 0
0 0 26.88 15.87 0
0 0 87.47 15.95 0
1 0 77.44 31.38 1
0 0 95.49 6.18 0
0 0 75.48 34.64 0
0 0 95.23 24.93 0
0 0 64.36 25.43 0
0 1 68.02 6.14 1
1 0 98.16 23.17 1
0 1 71.37 19.54 1
0 1 22.46 8.17 0
0 1 77.9 13.34 1
0 0 92.44 31.71 0
0 0 83.65 21.5 0
0 0 66.71 17.4 0
1 1 73.7 7.18 1
1 0 99.22 26.42 1
1 1 27.25 26.09 1
0 1 73.38 23.42 1
1 0 42.67 20.31 1
1 0 71.21 18.01 1
1 1 68.61 22.8 1
0 0 32.28 12.0 0
1 0 36.54 33.24 1
1 1 69.73 22.66 1
1 0 30.26 14.34 1
0 1 41.21 18.49 0
1 1 86.82 29.17 1
1 1 46.17 9.85 1
0 0 59.04 13.79 0
0 0 95.29 25.39 0
1 0 38.17 14.46 1
0 0 51.17 28.78 0
0 0 68.52 8.91 0
0 0 80.43 27.88 0
1 0 92.13 7.05 1
0 0 93.24 5.38 0
0 1 82.13 31.95 1
0 0 38.27 22.44 0
1 0 21.98 15.55 1
0 1 50.7 11.98 1
1 1 31.32 23.51 1
1 0 76.83 20.27 1
0 0 72.89 34.75 0
0 0 23.52 34.5 0
0 1 86.93 24.05 1
0 1 39.9 18.29 0
0 1 54.58 19.73 1
1 0 73.43 25.47 1
1 0 54.35 8.05 1
0 0 55.3 14.85 0
0 1 25.25 7.26 0
0 1 52.12 7.2 1
0 1 81.19 10.88 1
0 0 93.21 19.56 0
1 0 53.08 28.54 1
1 0 53.89 19.56 1
0 1 76.21 15.06 1
1 1 95.42 7.47 1
0 0 41.36 21.51 0
1 0 55.21 13.14 1
0 0 83.68 23.45 0
0 0 68.78 34.32 0
1 1 28.85 8.34 1
0 0 70.22 11.36 0
1 1 34.94 19.19 1
0 0 60.82 34.06 0
0 1 62.33 28.15 1
0 0 90.1 31.95 0
0 1 57.0 15.01 1
0 0 42.36 34.76 0
0 0 38.48 8.08 0
0 0 89.94 6.59 0
0 0 33.68 30.67 0
1 0 54.07 32.82 1
0 0 34.97 7.72 0
1 1 81.86 8.4 1
0 0 57.95 6.0 0
0 1 48.09 8.14 0
0 1 48.89 11.28 0
0 0 88.18 34.1 0
0 1 64.3 25.04 1
0 0 77.43 28.36 0
0 0 91.76 28.28 0
0 0 92.14 21.05 0
1 1 46.28 28.92 1
0 0 96.2 22.87 0
0 0 21.99 14.44 0
0 0 50.15 21.83 0
1 1 91.66 21.01 1
0 0 41.97 29.7 0
0 1 41.85 34.45 0
0 1 44.21 17.33 0
0 1 68.99 27.9 1
0 1 55.07 7.99 1
1 1 78.14 28.3 1
0 0 91.59 16.14 0
0 0 73.94 6.18 0
0 0 36.36 15.9 0
0 0 94.61 23.32 0
0 0 41.16 8.58 0
0 0 31.99 32.72 0
0 0 27.2 7.33 0
0 1 65.07 32.9 1
0 0 29.1 26.21 0
1 1 31.1 14.89 1
0 0 44.0 16.72 0
0 1 42.53 27.22 0
0 1 68.34 23.04 1
0 0 85.34 25.15 0
0 0 80.91 16.67 0
0 0 41.0 19.63 0
1 0 39.62 34.7 1
1 1 97.26 11.42 1
0 1 20.66 17.54 0
1 0 90.38 13.75 1
1 0 35.98 27.95 1
0 0 95.78 27.92 0
1 0 47.38 13.77 1
0 1 55.23 7.44 1
0 0 76.57 5.34 0
0 0 67.01 17.82 0
0 0 45.44 17.31 0
0 0 64.31 34.65 0
0 1 78.46 19.09 1
1 0 23.39 12.69 1
1 1 20.9 31.74 1
1 1 56.65 19.73 1
1 0 30.55 22.98 1
1 0 73.15 7.87 1
0 1 37.12 16.49 0
0 1 54.63 33.33 1
0 1 35.81 22.69 0
1 0 63.88 15.34 1
0 1 29.28 23.77 0
1 0 21.85 32.31 1
0 1 24.09 13.22 0
0 1 96.34 20.15 1
1 0 31.38 33.76 1
0 1 76.68 10.17 1
0 0 25.43 26.59 0
0 1 28.65 23.43 0
0 0 60.71 25.39 0
1 1 57.19 15.54 1
0 0 96.13 14.42 0
0 1 95.59 25.53 1
0 0 82.37 11.47 0
1 0 68.17 17.59 1
0 0 56.4 10.65 0
0 1 48.49 5.25 0
1 0 95.77 34.1 1
0 0 68.23 17.95 0
1 0 66.33 34.08 1
0 1 38.55 9.21 0
0 0 23.74 22.62 0
0 0 95.62 11.03 0
1 0 45.1 28.7 1
1 0 55.41 28.51 1
0 0 29.17 8.38 0
0 0 86.95 32.36 0
1 1 22.21 10.84 1
0 1 86.72 23.39 1
1 0 31.22 34.57 1
0 0 90.93 31.47 0
1 1 78.38 33.7 1
0 0 33.17 15.28 0
0 1 65.27 8.17 1
0 0 45.01 10.65 0
1 0 34.26 20.01 1
0 0 88.73 28.8 0
0 1 52.28 9.5 1
0 0 51.88 24.79 0
0 0 33.59 14.71 0
1 0 50.65 15.24 1
1 1 89.73 24.86 1
0 1 49.05 19.01 0
1 0 96.13 29.36 1
1 0 95.7 9.68 1
1 1 31.59 28.7 1
0 0 34.18 6.93 0
1 0 89.01 10.82 1
0 0 51.42 24.68 0
0 1 20.35 30.65 0
1 0 41.91 12.58 1
0 1 67.81 14.82 1
0 0 83.94 21.11 0
1 0 30.67 11.35 1
1 1 28.84 29.33 1
0 0 93.77 28.21 0
1 0 80.09 9.36 1
0 1 67.18 18.91 1
0 1 81.53 28.24 1
1 1 54.31 15.12 1
0 1 80.68 23.99 1
0 1 49.74 6.51 0
0 0 39.53 23.26 0
0 0 78.32 9.58 0
0 1 53.57 29.92 1
1 0 98.51 15.66 1
1 1 47.96 13.45 1
0 1 93.74 30.23 1
1 0 94.64 6.5 1
0 1 39.35 16.9 0
0 0 83.86 16.1 0
1 0 54.65 13.54 1
0 1 93.4 32.35 1
0 0 56.01 27.53 0
0 0 79.54 6.92 0
0 0 57.36 26.44 0
1 1 38.22 20.82 1
0 1 35.95 32.03 0
0 1 54.03 14.39 1
0 1 80.44 22.22 1
0 0 68.41 20.02 0
0 1 75.09 19.69 1
0 1 42.59 18.68 0
1 0 58.51 11.17 1
1 0 23.55 27.67 1
0 1 85.4 18.54 1
0 1 99.19 33.76 1
0 1 52.55 12.82 1
1 1 20.88 25.48 1
1 0 33.58 33.22 1
0 1 72.2 24.9 1
1 0 68.97 31.14 1
0 0 83.03 29.82 0
0 1 40.31 15.8 0
0 0 81.09 23.0 0
0 1 75.04 9.69 1
0 0 45.83 21.07 0
0 0 63.64 11.91 0
0 0 31.78 27.31 0
0 0 56.21 20.84 0
0 0 90.5 17.34 0
0 0 53.7 13.06 0
0 1 87.17 34.96 1
0 0 67.22 7.15 0
0 0 35.35 6.31 0
0 0 66.49 11.52 0
0 1 60.48 34.13 1
0 0 51.89 34.38 0
0 1 29.57 24.65 0
0 1 53.34 31.4 1
1 0 25.82 11.42 1
0 0 27.9 34.16 0
0 1 53.27 9.28 1
0 1 44.43 8.03 0
0 1 94.04 8.37 1
0 0 50.06 22.19 0
0 0 80.63 28.43 0
0 0 62.42 16.0 0
1 0 76.33 34.34 1
0 0 40.81 18.03 0
0 1 95.35 9.51 1
0 0 62.41 18.98 0
1 1 86.51 25.37 1
1 1 49.2 29.97 1
0 0 28.02 18.76 0
1 1 73.9 22.81 1
0 0 20.62 13.02 0
1 1 58.02 24.38 1
1 0 35.42 34.58 1
0 0 70.19 6.47 0
1 1 98.35 31.6 1
0 0 57.15 21.87 0
0 1 85.4 12.56 1
0 0 60.62 33.65 0
1 0 59.67 19.5 1
0 0 94.43 14.95 0
0 0 91.2 10.44 0
1 0 82.86 12.33 1
0 1 43.7 29.99 0
0 1 63.6 23.43 1
0 1 37.91 32.4 0
0 1 55.51 11.96 1
0 0 58.74 8.63 0
0 1 86.53 5.18 1
1 0 91.68 20.24 1
1 1 53.17 34.95 1
0 0 21.42 25.85 0
0 1 88.94 14.25 1
0 1 33.94 31.31 0
0 1 69.75 28.45 1
0 1 22.0 5.46 0
0 1 51.96 29.51 1
1 1 98.88 14.02 1
0 0 28.06 9.49 0
0 0 53.9 11.79 0
1 0 44.57 19.06 1
0 0 92.41 17.75 0
0 0 89.55 13.67 0
0 0 39.02 10.17 0
0 0 26.5 27.87 0
1 1 70.17 34.7 1
0 1 46.91 28.33 0
1 0 73.77 13.88 1
1 0 22.57 12.34 1
1 0 30.67 11.53 1
1 0 74.91 9.1 1
0 1 36.99 21.54 0
0 0 88.61 23.16 0
0 0 24.69 26.17 0
0 1 37.24 25.41 0
1 1 99.88 13.77 1
0 0 54.65 14.91 0
1 1 76.24 25.45 1
1 0 34.61 15.48 1
1 0 68.79 11.38 1
1 0 78.09 16.23 1
0 0 45.16 13.16 0
0 0 86.31 7.65 0
0 0 68.27 29.9 0
0 1 51.13 30.59 1
0 1 64.61 11.59 1
1 0 66.14 6.94 1
1 0 33.24 27.16 1
0 1 52.22 11.35 1
0 0 47.47 16.8 0
0 1 52.07 6.92 1
0 1 80.89 11.79 1
0 0 58.6 28.79 0
0 0 95.23 29.13 0
0 0 43.49 11.21 0
0 0 53.26 15.08 0
0 0 82.96 9.03 0
0 1 63.68 7.23 1
0 0 63.76 34.77 0
0 0 24.27 24.67 0
0 0 51.89 21.26 0
1 0 41.66 27.96 1
0 0 99.95 30.2 0
0 0 44.67 29.2 0
1 0 90.76 5.5 1
0 1 74.1 10.6 1
1 0 47.27 24.65 1
0 1 63.48 16.27 1
0 0 87.24 34.47 0
0 0 90.67 24.96 0
0 0 32.83 33.7 0
0 1 47.17 11.04 0
0 0 46.82 30.92 0
0 0 23.36 14.64 0
0 0 67.86 34.69 0
0 0 88.39 9.73 0
0 0 50.53 20.49 0
0 1 79.2 28.79 1
0 0 70.22 17.98 0
0 1 50.05 19.04 1
1 0 31.28 34.59 1
0 1 76.75 17.76 1
0 1 88.37 23.12 1
0 0 74.87 6.64 0
0 1 21.43 30.27 0
1 1 37.3 24.45 1
0 0 25.56 17.12 0
0 0 65.63 5.49 0
0 1 80.52 22.75 1
1 0 28.85 5.38 1
0 0 87.07 5.04 0
1 1 64.44 23.48 1
1 0 75.2 10.67 1
0 1 97.71 10.76 1
1 1 26.69 24.6 1
0 1 92.1 6.61 1
1 0 30.09 14.4 1
0 0 51.44 9.48 0
0 0 88.12 22.41 0
0 0 92.5 24.85 0
1 0 60.51 26.63 1
0 0 67.53 12.66 0
